nombre|stock|precio|marca|link|hora|fecha
Gaseosa Cola Cunnington Sin Azúcar 2,25 Lts.|81|103.50|CUNNINGTON|https://diaonline.supermercadosdia.com.ar/gaseosa-cola-cunnington-sin-azucar-225-lts-264020/p|01:24:41|2022-03-20
Gaseosa Cunnington Pomelo 2,25 Lts.|39|103.50|CUNNINGTON|https://diaonline.supermercadosdia.com.ar/gaseosa-cunnington-pomelo-225-lts-264019/p|01:24:41|2022-03-20
Cerveza Rubia Stella Artois 269 Ml.|2704|137.00|STELLA ARTOIS|https://diaonline.supermercadosdia.com.ar/cerveza-rubia-stella-artois-269-ml-257350/p|01:24:41|2022-03-20
Cerveza Andes Rubia en lata 473 Ml.|283|184.00|ANDES(CERVEZA)|https://diaonline.supermercadosdia.com.ar/cerveza-andes-rubia-en-lata-473-ml-257349/p|01:24:41|2022-03-20
Cerveza Negra St. Wendeler 500 ml.|178|150.00|ST WENDELER|https://diaonline.supermercadosdia.com.ar/cerveza-negra-st-wendeler-500-ml-251581/p|01:24:41|2022-03-20
Gaseosa Coca-Cola Sabor Original 1,25 Lts.|199|118.00|COKE/COCACOLA|https://diaonline.supermercadosdia.com.ar/gaseosa-coca-cola-sabor-original-125-lts-251157/p|01:24:41|2022-03-20
Gaseosa Agua Isotónica Light Dia 2,25 Lts.|59|108.00|DIA|https://diaonline.supermercadosdia.com.ar/gaseosa-agua-isotonica-light-dia-225-lts-248958/p|01:24:41|2022-03-20
Cerveza Miller en Lata 473 ml.|823|180.00|MILLER|https://diaonline.supermercadosdia.com.ar/cerveza-miller-en-lata-473-ml-244634/p|01:24:41|2022-03-20
Agua Saborizada Dia Pomelo Cero 2,25 Lts.|183|120.00|DIA|https://diaonline.supermercadosdia.com.ar/agua-saborizada-dia-pomelo-cero-225-lts-221839/p|01:24:41|2022-03-20
Gaseosa Dia Guaraná 2,25 Lts.|114|85.00|DIA|https://diaonline.supermercadosdia.com.ar/gaseosa-dia-guarana-225-lts-221838/p|01:24:41|2022-03-20
Cerveza Rubia Warsteiner lata 473 Ml.|75|119.80|WARSTEINER|https://diaonline.supermercadosdia.com.ar/cerveza-rubia-warsteiner-lata-473-ml-217704/p|01:24:41|2022-03-20
Cerveza Heineken Lata 473 ml.|977|220.00|HEINEKEN|https://diaonline.supermercadosdia.com.ar/cerveza-heineken-lata-473-ml-202696/p|01:24:41|2022-03-20
Agua Mineral sin Gas Villa del Sur 6,25 Lts.|25|224.06|VILLA DEL SUR( LEVITE)|https://diaonline.supermercadosdia.com.ar/agua-mineral-sin-gas-villa-del-sur-625-lts-165341/p|01:24:41|2022-03-20
Agua Saborizada con Gas Dia Limón 2 Lts.|44|85.00|DIA|https://diaonline.supermercadosdia.com.ar/agua-saborizada-con-gas-dia-limon-2-lts-159476/p|01:24:41|2022-03-20
Agua Saborizada con Gas Dia Pomelo 2 Lts.|80|85.00|DIA|https://diaonline.supermercadosdia.com.ar/agua-saborizada-con-gas-dia-pomelo-2-lts-159475/p|01:24:41|2022-03-20
Cerveza Imperial Lata 473 ml.|2331|153.69|IMPERIAL|https://diaonline.supermercadosdia.com.ar/cerveza-imperial-lata-473-ml-159292/p|01:24:41|2022-03-20
Agua Saborizada con Gas Dia Citrus 2 Lts.|155|85.00|DIA|https://diaonline.supermercadosdia.com.ar/agua-saborizada-con-gas-dia-citrus-2-lts-148962/p|01:24:41|2022-03-20
Agua Saborizada con Gas Dia Naranja y Durazno 2 Lts.|72|85.00|DIA|https://diaonline.supermercadosdia.com.ar/agua-saborizada-con-gas-dia-naranja-y-durazno-2-lts-133959/p|01:24:41|2022-03-20
Agua Saborizada Levité Pera 2,25 Lts.|128|149.00|LEVITE|https://diaonline.supermercadosdia.com.ar/agua-saborizada-levite-pera-225-lts-133905/p|01:24:41|2022-03-20
Agua Saborizada Levité Naranja 2,25 Lts.|231|149.00|LEVITE|https://diaonline.supermercadosdia.com.ar/agua-saborizada-levite-naranja-225-lts-116178/p|01:24:41|2022-03-20
Gaseosa Crush sin azúcares pomelo amarillo 2,25 Lts.|35|109.00|CRUSH|https://diaonline.supermercadosdia.com.ar/gaseosa-crush-sin-azucares-pomelo-amarillo-225-lts-114822/p|01:24:41|2022-03-20
Agua DIA Mineralizada 2 Lts.|688|62.00|DIA|https://diaonline.supermercadosdia.com.ar/agua-dia-mineralizada-2-lts-112914/p|01:24:41|2022-03-20
Vino Tinto Alma Mora Malbec 750 ml.|12|369.00|ALMA MORA|https://diaonline.supermercadosdia.com.ar/vino-tinto-alma-mora-malbec-750-ml-104269/p|01:24:41|2022-03-20
Gaseosa Fanta naranja 2,25 Lts.|243|308.00|FANTA|https://diaonline.supermercadosdia.com.ar/gaseosa-fanta-naranja-225-lts-84975/p|01:24:41|2022-03-20
Soda Dia en Botella 2,25 Lts.|406|73.80|DIA|https://diaonline.supermercadosdia.com.ar/soda-dia-en-botella-225-lts-78303/p|01:24:41|2022-03-20
Vino Tinto Cabernet Sauvignon Colón 750 Ml.|1467|230.00|COLON (VINO)|https://diaonline.supermercadosdia.com.ar/vino-tinto-cabernet-sauvignon-colon-750-ml-66269/p|01:24:41|2022-03-20
Cerveza Heineken Envase Retornable 1 Lt.|273|345.00|HEINEKEN|https://diaonline.supermercadosdia.com.ar/cerveza-heineken-envase-retornable-1-lt-61144/p|01:24:41|2022-03-20
Agua Mineral sin Gas Villa del Sur 2,25 Lts.|126|90.00|VILLA DEL SUR( LEVITE)|https://diaonline.supermercadosdia.com.ar/agua-mineral-sin-gas-villa-del-sur-225-lts-54155/p|01:24:41|2022-03-20
Jugo DIA Naranja Exprimido 1 Lt.|6|129.00|DIA|https://diaonline.supermercadosdia.com.ar/jugo-dia-naranja-exprimido-1-lt-50690/p|01:24:41|2022-03-20
Cerveza Rubia Brahma Botella Retornable 1 Lt.|501|185.00|BRAHMA|https://diaonline.supermercadosdia.com.ar/cerveza-rubia-brahma-botella-retornable-1-lt-47617/p|01:24:41|2022-03-20
Agua Mineral sin Gas Villavicencio 2 Lts.|164|100.28|VILLAVICENCIO|https://diaonline.supermercadosdia.com.ar/agua-mineral-sin-gas-villavicencio-2-lts-40488/p|01:24:41|2022-03-20
Gaseosa Seven Up 1,5 Lts.|39|114.64|SEVEN UP|https://diaonline.supermercadosdia.com.ar/gaseosa-seven-up-15-lts-39691/p|01:24:41|2022-03-20
Gaseosa Crush sin azúcares naranja 2,25 Lts.|390|131.00|CRUSH|https://diaonline.supermercadosdia.com.ar/gaseosa-crush-sin-azucares-naranja-225-lts-36373/p|01:24:41|2022-03-20
Jugo de Limón Minerva 500 ml.|27|184.35|MINERVA|https://diaonline.supermercadosdia.com.ar/jugo-de-limon-minerva-500-ml-30582/p|01:24:41|2022-03-20
Cerveza Schneider Retornable 970 ml.|796|157.30|SCHNEIDER|https://diaonline.supermercadosdia.com.ar/cerveza-schneider-retornable-970-ml-27365/p|01:24:41|2022-03-20
