nombre|stock|precio|marca|link|hora|fecha
Espinaca Congelada Granja del Sol 500 Gr.|65|294.00|GRANJA DEL SOL|https://diaonline.supermercadosdia.com.ar/espinaca-congelada-granja-del-sol-500-gr-182651/p|01:24:48|2022-03-20
Patitas de Pollo Granja del Sol 1,100 Kg.|53|1.162.00|GRANJA DEL SOL|https://diaonline.supermercadosdia.com.ar/patitas-de-pollo-granja-del-sol-1100-kg-182641/p|01:24:48|2022-03-20
Suprema de Pollo Rebozada Granja del Sol 4 Un.|42|519.00|GRANJA DEL SOL|https://diaonline.supermercadosdia.com.ar/suprema-de-pollo-rebozada-granja-del-sol-4-un-174001/p|01:24:48|2022-03-20
Bombón Escocés DIA Chocolate 552 Gr.|18|429.00|DIA|https://diaonline.supermercadosdia.com.ar/bombon-escoces-dia-chocolate-552-gr-142656/p|01:24:48|2022-03-20
Huellitas de Pollo DIA 800 Gr.|15|569.00|DIA|https://diaonline.supermercadosdia.com.ar/huellitas-de-pollo-dia-800-gr-114985/p|01:24:48|2022-03-20
Huellitas de Pollo DIA 400 Gr.|36|329.00|DIA|https://diaonline.supermercadosdia.com.ar/huellitas-de-pollo-dia-400-gr-114984/p|01:24:48|2022-03-20
Helado DIA de Chocolate, Dulce de Leche y Granizado 1 Lt.|17|379.00|DIA|https://diaonline.supermercadosdia.com.ar/helado-dia-de-chocolate-dulce-de-leche-y-granizado-1-lt-82081/p|01:24:48|2022-03-20
Bombón Escocés DIA 552 Gr.|17|429.00|DIA|https://diaonline.supermercadosdia.com.ar/bombon-escoces-dia-552-gr-75651/p|01:24:48|2022-03-20
Helado Palito Crocante DIA 282 Gr.|18|399.00|DIA|https://diaonline.supermercadosdia.com.ar/helado-palito-crocante-dia-282-gr-4764/p|01:24:48|2022-03-20
Burger Vegetal Vegetalex 226 Gr.|17|480.00|VEGETALEX|https://diaonline.supermercadosdia.com.ar/burger-vegetal-vegetalex-226-gr-283117/p|01:24:48|2022-03-20
Helado Freddo Cookies & Cream 375 Gr.|38|375.00|FREDDO|https://diaonline.supermercadosdia.com.ar/helado-freddo-cookies---cream-375-gr-280114/p|01:24:48|2022-03-20
Choclo Congelado Green Life 300 Gr.|46|170.00|GREEF LIFE|https://diaonline.supermercadosdia.com.ar/choclo-congelado-green-life-300-gr-271620/p|01:24:48|2022-03-20
FORMITAS MARINAS DE MERLUZA GRANGY´S 400GR|73|379.00|GRANGY'S|https://diaonline.supermercadosdia.com.ar/formitas-marinas-de-merluza-grangy-s-400gr-270679/p|01:24:48|2022-03-20
Palito Bombón Helado Ice Cool Americana y Chocolate 50 Gr.|82|59.00|ICE COOL|https://diaonline.supermercadosdia.com.ar/palito-bombon-helado-ice-cool-americana-y-chocolate-50-gr-269312/p|01:24:48|2022-03-20
Nuggets de Pollo Calisa Estilo Pizza 400 Gr.|11|399.00|CALISA|https://diaonline.supermercadosdia.com.ar/nuggets-de-pollo-calisa-estilo-pizza-400-gr-266577/p|01:24:48|2022-03-20
Helado de agua DIA Frutilla y Limón 68 Gr.|69|49.00|DIA|https://diaonline.supermercadosdia.com.ar/helado-de-agua-dia-frutilla-y-limon-68-gr-265389/p|01:24:48|2022-03-20
Fingers de Pollo Calisa Capresse 320 Gr.|11|279.00|CALISA|https://diaonline.supermercadosdia.com.ar/fingers-de-pollo-calisa-capresse-320-gr-264916/p|01:24:48|2022-03-20
Helado Ice Cool de Chocolate Granizado y Cereza 1 Lt.|38|249.00|ICE COOL|https://diaonline.supermercadosdia.com.ar/helado-ice-cool-de-chocolate-granizado-y-cereza-1-lt-257300/p|01:24:48|2022-03-20
