nombre|stock|precio|marca|link|hora|fecha
Criollitas 400 Gr.|321|119.00|CRIOLLITAS|https://diaonline.supermercadosdia.com.ar/criollitas-400-gr-271278/p|01:24:38|2022-03-20
Chicles Beldent Menta 10 Gr.|98|60.00|BELDENT|https://diaonline.supermercadosdia.com.ar/chicles-beldent-menta-10-gr-269580/p|01:24:38|2022-03-20
Yerba Mate Playadito Suave 500 Gr.|686|316.94|PLAYADITO|https://diaonline.supermercadosdia.com.ar/yerba-mate-playadito-suave-500-gr-269578/p|01:24:38|2022-03-20
Azúcar Rubia Mascabo Ledesma 800 Gr.|37|119.00|LEDESMA|https://diaonline.supermercadosdia.com.ar/azucar-rubia-mascabo-ledesma-800-gr-263408/p|01:24:38|2022-03-20
Pastillas de colores La Yapa 17 Gr.|161|25.08|LA YAPA|https://diaonline.supermercadosdia.com.ar/pastillas-de-colores-la-yapa-17-gr-258016/p|01:24:38|2022-03-20
Café en saquitos Bonafide 24 Ud.|49|271.36|BONAFIDE|https://diaonline.supermercadosdia.com.ar/cafe-en-saquitos-bonafide-24-ud-250035/p|01:24:38|2022-03-20
Galletitas Mini Crackers DIA 5 Semillas 300 Gr.|591|111.50|DIA|https://diaonline.supermercadosdia.com.ar/galletitas-mini-crackers-dia-5-semillas-300-gr-249755/p|01:24:38|2022-03-20
Galletitas DIA con Chips de Chocolate 90 Gr.|364|63.00|DIA|https://diaonline.supermercadosdia.com.ar/galletitas-dia-con-chips-de-chocolate-90-gr-222398/p|01:24:38|2022-03-20
Galletitas Cerealitas Clásicas 3 Ud. x 600 Gr.|38|253.00|CEREALITAS|https://diaonline.supermercadosdia.com.ar/galletitas-cerealitas-clasicas-3-ud-x-600-gr-173849/p|01:24:38|2022-03-20
Yerba Mate Amanda Tradicional 500 Gr.|965|183.49|AMANDA|https://diaonline.supermercadosdia.com.ar/yerba-mate-amanda-tradicional-500-gr-164681/p|01:24:38|2022-03-20
Galletitas Crackers Clásicas Cuquets 330 Gr.|323|116.00|CUQUETS|https://diaonline.supermercadosdia.com.ar/galletitas-crackers-clasicas-cuquets-330-gr-133971/p|01:24:38|2022-03-20
Azúcar Ledesma refinado Superior 1 Kg.|62|118.99|LEDESMA|https://diaonline.supermercadosdia.com.ar/azucar-ledesma-refinado-superior-1-kg-129208/p|01:24:38|2022-03-20
Chocolate Shot con Leche y Maní 35 Gr.|211|92.00|SHOT|https://diaonline.supermercadosdia.com.ar/chocolate-shot-con-leche-y-mani-35-gr-110388/p|01:24:38|2022-03-20
Dulce de Leche DIA 400 Gr.|188|134.00|DIA|https://diaonline.supermercadosdia.com.ar/dulce-de-leche-dia-400-gr-104723/p|01:24:38|2022-03-20
Galletitas Pepas DIA 500 Gr.|1268|156.00|DIA|https://diaonline.supermercadosdia.com.ar/galletitas-pepas-dia-500-gr-99483/p|01:24:38|2022-03-20
Obleas DIA Vainilla 100 Gr.|244|39.00|DIA|https://diaonline.supermercadosdia.com.ar/obleas-dia-vainilla-100-gr-55567/p|01:24:38|2022-03-20
Galletitas Azucaradas DIA 250 Gr.|535|64.50|DIA|https://diaonline.supermercadosdia.com.ar/galletitas-azucaradas-dia-250-gr-55536/p|01:24:38|2022-03-20
Galletitas Pepas DIA 250 Gr.|1001|82.00|DIA|https://diaonline.supermercadosdia.com.ar/galletitas-pepas-dia-250-gr-55534/p|01:24:38|2022-03-20
Tostaditas DIA Clásicas 140 Gr.|46|99.00|DIA|https://diaonline.supermercadosdia.com.ar/tostaditas-dia-clasicas-140-gr-55527/p|01:24:38|2022-03-20
Galletitas Rumba Original 112 Gr.|131|56.02|RUMBA|https://diaonline.supermercadosdia.com.ar/galletitas-rumba-original-112-gr-55062/p|01:24:38|2022-03-20
Galletitas Chocolinas Chocolate 250 Gr.|59|118.87|CHOCOLINAS|https://diaonline.supermercadosdia.com.ar/galletitas-chocolinas-chocolate-250-gr-47932/p|01:24:38|2022-03-20
Café Sensaciones Bonafide Torrado Intenso 500 Gr.|37|475.00|BONAFIDE|https://diaonline.supermercadosdia.com.ar/cafe-sensaciones-bonafide-torrado-intenso-500-gr-31555/p|01:24:38|2022-03-20
Pastillas de Goma Mogul Rollo 35 Gr.|222|45.00|MOGUL|https://diaonline.supermercadosdia.com.ar/pastillas-de-goma-mogul-rollo-35-gr-25058/p|01:24:38|2022-03-20
Alfajor Pepitos 57 Gr.|84|99.00|PEPITOS|https://diaonline.supermercadosdia.com.ar/alfajor-pepitos-57-gr-23430/p|01:24:38|2022-03-20
Alfajor Triple Terrabusi Torta de Chocolate 70 Gr.|70|60.15|TERRABUSI|https://diaonline.supermercadosdia.com.ar/alfajor-triple-terrabusi-torta-de-chocolate-70-gr-23426/p|01:24:38|2022-03-20
Alfajor Milka Triple Mousse 150 Gr.|146|99.00|MILKA|https://diaonline.supermercadosdia.com.ar/alfajor-milka-triple-mousse-150-gr-21721/p|01:24:38|2022-03-20
Obleas Opera Original 220 Gr.|82|124.41|OPERA|https://diaonline.supermercadosdia.com.ar/obleas-opera-original-220-gr-14927/p|01:24:38|2022-03-20
Té Clásico La Virginia Naturalidad Intacta 25 Un.|87|62.00|LA VIRGINIA|https://diaonline.supermercadosdia.com.ar/te-clasico-la-virginia-naturalidad-intacta-25-un-280379/p|01:24:38|2022-03-20
Mermelada BC Ciruela 390 Gr.|30|182.16|LA CAMPAGNOLA|https://diaonline.supermercadosdia.com.ar/mermelada-bc-ciruela-390-gr-279723/p|01:24:38|2022-03-20
